ID,Name,Latitude,Longitude,Elevation
29535851,Swarth Fell,54.3649676,-2.37724,681.2
29535876,Little Fell,54.40398,-2.3609543,559
29535879,Lunds Fell,54.3648314,-2.2970223,666
29535881,High Seat,54.4063125,-2.306488,709
29536149,Tailbridge Hill,54.4434827,-2.3052111,547
29536151,Green Law Rigg,54.4194842,-2.3609994,402
29536152,N/A,54.4265023,-2.3486904,N/A
29536191,Wharton Fell,54.4269187,-2.3590579,N/A
29537078,Dow Crag,54.5651112,-2.2430588,N/A
29537079,Iron Band,54.5626832,-2.2583445,N/A
29537098,Cock Lake,54.600399,-2.1774012,N/A
29537105,Standards,54.5988657,-2.2187891,597.4
29537114,How Top,54.6030846,-2.1511022,N/A
29537115,Millstone Grits,54.590442,-2.0682192,N/A
29537116,Millstone How Hill,54.6253406,-2.1840445,578.2
29537117,N/A,54.6141973,-2.1510235,N/A
29537120,Harter Fell,54.6092016,-2.1133326,480.7
29537127,Shacklesborough,54.5487067,-2.1427498,454.2
29537129,Scarset Rigg,54.6073468,-2.1466696,N/A
29537150,Westernhope Moor,54.6880228,-2.1207792,675.74
29537154,Black Hill,54.7084424,-2.1438416,N/A
29537159,Dora's Seat,54.6920582,-2.1770836,657.8
29537161,Hardberry Hill,54.6548206,-2.1074183,529.7
29537226,Carrs Hill,54.6708269,-2.0755811,N/A
29537227,Monks,54.6560527,-2.0590074,565.1
29537228,Fendrith Hill,54.6949134,-2.1923364,696.4
29542937,Bignor Hill,50.9105941,-0.604449,N/A
29542938,Westburton Hill,50.9079206,-0.5855319,N/A
29542939,Bury Hill,50.9028599,-0.577378,N/A
29542957,Farm Hill,50.9232184,-0.6313912,N/A
29542958,Barlavington Down,50.9321447,-0.6321551,N/A
29543155,Rackham Hill,50.9034932,-0.5019242,193
29543156,Kithurst Hill,50.9021205,-0.4635489,213
29543157,Chantry Hill,50.8973327,-0.4558242,189
29543159,Sullington Hill,50.8973277,-0.4478595,206
29543177,Barnsfarm Hill,50.8968423,-0.4322826,205
29543228,Chanctonbury Ring,50.8969231,-0.3813207,242
29543352,Truleigh Hill,50.8838088,-0.2600733,N/A
29543428,Newtimber Hill,50.8981407,-0.1949124,N/A
29544758,Hazelhurst Fell,53.9246184,-2.6599978,429
29544759,Stake House Fell,53.9435807,-2.6761882,400
29544760,Greave Clough Head,53.9489212,-2.6485957,463
29544761,Grizedale Head,53.9505396,-2.6764309,N/A
29544762,Holme House Fell,53.9279084,-2.6438012,459
29544763,Fiendsdale,53.9392112,-2.62602,433
29544764,Hawthornthwaite Fell Top,53.9577131,-2.6430724,478
29544765,Hareden Fell,53.9391303,-2.5797357,400
29544766,Totridge Fell,53.9334393,-2.5578459,497
29544767,Mellor Knoll,53.9406677,-2.5381446,344
29544768,N/A,53.950135,-2.5585356,258
29544794,Birkett Fell,53.9279414,-2.5053026,283
29544795,Marl Hill,53.9154003,-2.4640947,311
29544797,Hodder Bank Fell,53.9396671,-2.5048006,244
29547051,Rippon Tor,50.56644,-3.771151,476
29547052,Saddle Tor,50.5740789,-3.7654643,N/A
29547054,Bag Tor,50.5686581,-3.7498143,N/A
29547057,Hound Tor,50.5967598,-3.7781052,419
29556502,Holdron Moss,53.9583671,-2.5992948,N/A
29556503,Top of Blaze Moss,53.9661878,-2.5799802,N/A
29556504,Brennand Great Hill,54.0004326,-2.5795063,474
29556870,Whins Brow,53.9744492,-2.5557963,476
29580544,Tryfan,53.1149265,-3.9973392,917.5
29580545,Glyder Fawr,53.1014871,-4.0291226,1000.8
29580546,Glyder Fach,53.1048299,-4.0083794,994
29621037,Kinnoull Hill,56.389674,-3.3998554,222
29621184,Milquhanzie Hill,56.4038802,-3.7928448,N/A
29621195,Ben Chonzie,56.4538846,-3.9920844,931
